,RESPOND_ID,EXAMIN_BEGIN_DE,SEX,AGE,INCOME,SEOUL,GYEONGGI,BUSAN,CHUNGNAM,CHUNGBUK,GYEONGNAM,GYEONGBUK,JEONNAM,JEONBUK,GANGWAN,JEJU,Total,Lodgement,Food,Transport,Shopping,Activity,Etc,Company,Per_Diem,Married,AREA_강원도,AREA_경기도,AREA_경상남도,AREA_경상북도,AREA_광주광역시,AREA_대구광역시,AREA_대전광역시,AREA_부산광역시,AREA_서울특별시,AREA_울산광역시,AREA_인천광역시,AREA_전라남도,AREA_전라북도,AREA_제주도,AREA_충청남도(세종시 포함),AREA_충청북도,Children_미혼,Children_신혼기(자녀 없음),Children_자녀 독립(막내 결혼),Children_자녀 성인(막내 대학),Children_자녀 성장(막내 중고생),Children_자녀 유아&성장(막내 입학전~초등생),Occupation_경영/관리/전문직,Occupation_기능/숙련/일반작업직,Occupation_기타/무직,Occupation_대학/대학원생,Occupation_사무/기술직,Occupation_자영업,Occupation_전업주부,Occupation_판매/서비스직,dbscan_cluster,kmeans_cluster
14,53337078,20240101,1,50,1,3,3,3,3,3,3,3,3,3,3,3,30,1,10,1,1,5,5,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1
15,53339544,20240101,1,50,1,3,2,4,3,3,3,3,3,3,3,3,40,5,10,5,1,10,1,4,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1
16,53341363,20240101,0,40,1,4,4,4,2,2,2,2,2,4,4,4,10,1,3,1,1,1,1,4,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1
17,53341677,20240101,1,30,1,3,5,1,2,2,3,3,5,3,4,5,10,5,1,1,1,3,1,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,1
18,53342087,20240101,1,50,1,4,2,4,2,2,4,2,4,4,4,2,10,10,5,1,1,1,1,5,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1
19,53344977,20240101,0,20,0,3,3,3,4,4,4,4,3,3,4,4,10,1,3,3,1,1,1,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1,0
20,53345966,20240101,1,40,1,3,3,4,3,3,3,2,3,3,4,2,10,3,3,3,5,1,1,2,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,0
21,53349380,20240101,0,50,1,3,3,4,3,3,3,3,4,4,4,3,40,10,5,5,1,5,1,2,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1,1
22,53357986,20240101,0,50,1,2,2,2,2,2,2,2,2,2,2,2,40,10,10,1,10,10,1,4,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1,1
23,53358527,20240101,0,50,0,4,4,4,3,3,3,3,3,3,2,4,10,1,5,3,1,1,1,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0
24,53362103,20240101,0,20,0,3,2,4,3,3,3,3,3,3,2,2,20,7,5,1,1,3,1,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,0
25,53363235,20240101,0,50,1,4,3,3,3,3,3,3,3,3,3,4,10,1,5,1,1,5,1,5,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1
26,53364226,20240101,1,50,1,3,3,3,4,4,3,3,3,3,4,5,40,1,10,10,1,7,3,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32,1
27,53367204,20240101,0,50,1,3,3,4,5,4,4,3,3,3,3,5,20,10,10,1,1,1,1,3,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,70,1
28,53367667,20240101,1,30,1,4,4,4,4,4,4,4,4,4,4,4,10,3,1,1,1,1,1,2,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7,1
29,53374884,20240101,0,20,1,3,4,4,3,3,3,3,3,3,4,5,10,3,7,1,1,1,1,2,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,0
30,53375471,20240108,0,50,1,2,4,3,4,4,4,4,3,3,4,4,10,1,1,1,1,7,1,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,1
31,53346811,20240108,0,50,1,2,3,3,2,2,2,2,2,2,4,5,40,10,10,10,10,5,5,3,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1,1
32,53340197,20240108,0,50,1,4,4,3,4,3,3,3,3,3,3,3,30,5,10,1,1,10,1,5,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1
33,53372026,20240108,0,40,1,3,3,3,3,1,1,1,1,3,1,4,40,1,10,10,10,1,1,1,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,1
34,53337862,20240108,0,40,1,4,3,3,2,2,2,2,2,2,3,1,10,5,3,1,1,1,1,5,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,1
